#Organism/Name,Strain,BioSample,BioProject,Group,SubGroup,Size (Mb),GC%,Assembly,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Saccharomyces cerevisiae","NSEBRsf_A9",SAMN02777150 ,PRJNA247448,"Fungi","Ascomycetes",12.1358,38.5859,GCA_001671625.1 ,chromosome I:CP008100.1; chromosome II:CP008101.1; chromosome III:CP008102.1; chromosome IV:CP008103.1; chromosome V:CP008104.1; chromosome VI:CP008105.1; chromosome VII:CP008106.1; chromosome VIII:CP008107.1; chromosome IX:CP008108.1; chromosome X:CP008109.1; chromosome XI:CP008110.1; chromosome XII:CP008111.1; chromosome XIII:CP008112.1; chromosome XIV:CP008113.1; chromosome XV:CP008114.1; chromosome XVI:CP008115.1; mitochondrion MT:CP008116.1,-,17,-,-,2016/06/20,2016/06/20,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/625/GCA_001671625.1_ASM167162v1
"Saccharomyces cerevisiae","MARARsf_A10",SAMN02777148 ,PRJNA247448,"Fungi","Ascomycetes",12.1171,38.5535,GCA_001671655.1 ,chromosome I:CP008134.1; chromosome II:CP008135.1; chromosome III:CP008136.1; chromosome IV:CP008137.1; chromosome V:CP008138.1; chromosome VI:CP008139.1; chromosome VII:CP008140.1; chromosome VIII:CP008141.1; chromosome IX:CP008142.1; chromosome X:CP008143.1; chromosome XI:CP008144.1; chromosome XII:CP008145.1; chromosome XIII:CP008146.1; chromosome XIV:CP008147.1; chromosome XV:CP008148.1; chromosome XVI:CP008149.1; mitochondrion MT:CP008150.1,-,17,-,-,2016/06/20,2016/06/20,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/655/GCA_001671655.1_ASM167165v1
"Saccharomyces cerevisiae","T16",SAMN02770293 ,PRJNA247448,"Fungi","Ascomycetes",12.1188,38.6178,GCA_001671685.1 ,chromosome I:CP008678.1; chromosome II:CP008679.1; chromosome III:CP008680.1; chromosome IV:CP008681.1; chromosome V:CP008682.1; chromosome VI:CP008683.1; chromosome VII:CP008684.1; chromosome VIII:CP008685.1; chromosome IX:CP008686.1; chromosome X:CP008687.1; chromosome XI:CP008688.1; chromosome XII:CP008689.1; chromosome XIII:CP008690.1; chromosome XIV:CP008691.1; chromosome XV:CP008692.1; chromosome XVI:CP008693.1; mitochondrion MT:CP008694.1,-,17,-,-,2016/06/20,2016/06/20,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/685/GCA_001671685.1_ASM167168v1
"Saccharomyces cerevisiae","WA_C_CODDINGTON_2",SAMN02770304 ,PRJNA247448,"Fungi","Ascomycetes",12.1213,38.5212,GCA_001671715.1 ,chromosome I:CP008627.1; chromosome II:CP008628.1; chromosome III:CP008629.1; chromosome IV:CP008630.1; chromosome V:CP008631.1; chromosome VI:CP008632.1; chromosome VII:CP008633.1; chromosome VIII:CP008634.1; chromosome IX:CP008635.1; chromosome X:CP008636.1; chromosome XI:CP008637.1; chromosome XII:CP008638.1; chromosome XIII:CP008639.1; chromosome XIV:CP008640.1; chromosome XV:CP008641.1; chromosome XVI:CP008642.1; mitochondrion MT:CP008643.1,-,17,-,-,2016/06/20,2016/06/20,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/715/GCA_001671715.1_ASM167171v1
"Saccharomyces cerevisiae","T.52_5A",SAMN02770302 ,PRJNA247448,"Fungi","Ascomycetes",12.113,38.5784,GCA_001671745.1 ,chromosome I:CP008661.1; chromosome II:CP008662.1; chromosome III:CP008663.1; chromosome IV:CP008664.1; chromosome V:CP008665.1; chromosome VI:CP008666.1; chromosome VII:CP008667.1; chromosome VIII:CP008668.1; chromosome IX:CP008669.1; chromosome X:CP008670.1; chromosome XI:CP008671.1; chromosome XII:CP008672.1; chromosome XIII:CP008673.1; chromosome XIV:CP008674.1; chromosome XV:CP008675.1; chromosome XVI:CP008676.1; mitochondrion MT:CP008677.1,-,17,-,-,2016/06/20,2016/06/20,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/745/GCA_001671745.1_ASM167174v1
"Saccharomyces cerevisiae","WA_C_MATES_13",SAMN02772778 ,PRJNA247448,"Fungi","Ascomycetes",12.1248,38.5935,GCA_001671775.1 ,chromosome I:CP008576.1; chromosome II:CP008577.1; chromosome III:CP008578.1; chromosome IV:CP008579.1; chromosome V:CP008580.1; chromosome VI:CP008581.1; chromosome VII:CP008582.1; chromosome VIII:CP008583.1; chromosome IX:CP008584.1; chromosome X:CP008585.1; chromosome XI:CP008586.1; chromosome XII:CP008587.1; chromosome XIII:CP008588.1; chromosome XIV:CP008589.1; chromosome XV:CP008590.1; chromosome XVI:CP008591.1; mitochondrion MT:CP008592.1,-,17,-,-,2016/06/20,2016/06/20,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/775/GCA_001671775.1_ASM167177v1
"Saccharomyces cerevisiae","HB_C_KOROKIPO_12",SAMN02776108 ,PRJNA247448,"Fungi","Ascomycetes",12.1114,38.555,GCA_001671805.1 ,chromosome I:CP008474.1; chromosome II:CP008475.1; chromosome III:CP008476.1; chromosome IV:CP008477.1; chromosome V:CP008478.1; chromosome VI:CP008479.1; chromosome VII:CP008480.1; chromosome VIII:CP008481.1; chromosome IX:CP008482.1; chromosome X:CP008483.1; chromosome XI:CP008484.1; chromosome XII:CP008485.1; chromosome XIII:CP008486.1; chromosome XIV:CP008487.1; chromosome XV:CP008488.1; chromosome XVI:CP008489.1; mitochondrion MT:CP008490.1,-,17,-,-,2016/06/20,2016/06/20,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/805/GCA_001671805.1_ASM167180v1
"Saccharomyces cerevisiae","WI_S_JASA_13",SAMN02776115 ,PRJNA247448,"Fungi","Ascomycetes",12.1111,38.6623,GCA_001671835.1 ,chromosome I:CP008355.1; chromosome II:CP008356.1; chromosome III:CP008357.1; chromosome IV:CP008358.1; chromosome V:CP008359.1; chromosome VI:CP008360.1; chromosome VII:CP008361.1; chromosome VIII:CP008362.1; chromosome IX:CP008363.1; chromosome X:CP008364.1; chromosome XI:CP008365.1; chromosome XII:CP008366.1; chromosome XIII:CP008367.1; chromosome XIV:CP008368.1; chromosome XV:CP008369.1; chromosome XVI:CP008370.1; mitochondrion MT:CP008371.1,-,17,-,-,2016/06/20,2016/06/20,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/835/GCA_001671835.1_ASM167183v1
"Saccharomyces cerevisiae","HB_C_TUKITUKI2_10",SAMN02776114 ,PRJNA247448,"Fungi","Ascomycetes",12.0983,38.6099,GCA_001671865.1 ,chromosome I:CP008372.1; chromosome II:CP008373.1; chromosome III:CP008374.1; chromosome IV:CP008375.1; chromosome V:CP008376.1; chromosome VI:CP008377.1; chromosome VII:CP008378.1; chromosome VIII:CP008379.1; chromosome IX:CP008380.1; chromosome X:CP008381.1; chromosome XI:CP008382.1; chromosome XII:CP008383.1; chromosome XIII:CP008384.1; chromosome XIV:CP008385.1; chromosome XV:CP008386.1; chromosome XVI:CP008387.1; mitochondrion MT:CP008388.1,-,17,-,-,2016/06/20,2016/06/20,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/865/GCA_001671865.1_ASM167186v1
"Saccharomyces cerevisiae","HB_S_GIMBLETTROAD_14",SAMN02776120 ,PRJNA247448,"Fungi","Ascomycetes",12.1193,38.6381,GCA_001671895.1 ,chromosome I:CP008253.1; chromosome II:CP008254.1; chromosome III:CP008255.1; chromosome IV:CP008256.1; chromosome V:CP008257.1; chromosome VI:CP008258.1; chromosome VII:CP008259.1; chromosome VIII:CP008260.1; chromosome IX:CP008261.1; chromosome X:CP008262.1; chromosome XI:CP008263.1; chromosome XII:CP008264.1; chromosome XIII:CP008265.1; chromosome XIV:CP008266.1; chromosome XV:CP008267.1; chromosome XVI:CP008268.1; mitochondrion MT:CP008269.1,-,17,-,-,2016/06/20,2016/06/20,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/895/GCA_001671895.1_ASM167189v1
"Saccharomyces cerevisiae","T63",SAMN02770295 ,PRJNA247448,"Fungi","Ascomycetes",12.1159,38.5846,GCA_001671925.1 ,chromosome I:CP008304.1; chromosome II:CP008305.1; chromosome III:CP008306.1; chromosome IV:CP008307.1; chromosome V:CP008308.1; chromosome VI:CP008309.1; chromosome VII:CP008310.1; chromosome VIII:CP008311.1; chromosome IX:CP008312.1; chromosome X:CP008313.1; chromosome XI:CP008314.1; chromosome XII:CP008315.1; chromosome XIII:CP008316.1; chromosome XIV:CP008317.1; chromosome XV:CP008318.1; chromosome XVI:CP008319.1; mitochondrion MT:CP008320.1,-,17,-,-,2016/06/20,2016/06/20,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/925/GCA_001671925.1_ASM167192v1
"Saccharomyces cerevisiae","HB_S_BILANCHER_6",SAMN02776119 ,PRJNA247448,"Fungi","Ascomycetes",12.1269,38.6697,GCA_001671955.1 ,chromosome I:CP008270.1; chromosome II:CP008271.1; chromosome III:CP008272.1; chromosome IV:CP008273.1; chromosome V:CP008274.1; chromosome VI:CP008275.1; chromosome VII:CP008276.1; chromosome VIII:CP008277.1; chromosome IX:CP008278.1; chromosome X:CP008279.1; chromosome XI:CP008280.1; chromosome XII:CP008281.1; chromosome XIII:CP008282.1; chromosome XIV:CP008283.1; chromosome XV:CP008284.1; chromosome XVI:CP008285.1; mitochondrion MT:CP008286.1,-,17,-,-,2016/06/20,2016/06/20,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/955/GCA_001671955.1_ASM167195v1
"Saccharomyces cerevisiae","HB_S_GIMBLETTROAD_16",SAMN02776121 ,PRJNA247448,"Fungi","Ascomycetes",12.134,38.5768,GCA_001671985.1 ,chromosome I:CP008236.1; chromosome II:CP008237.1; chromosome III:CP008238.1; chromosome IV:CP008239.1; chromosome V:CP008240.1; chromosome VI:CP008241.1; chromosome VII:CP008242.1; chromosome VIII:CP008243.1; chromosome IX:CP008244.1; chromosome X:CP008245.1; chromosome XI:CP008246.1; chromosome XII:CP008247.1; chromosome XIII:CP008248.1; chromosome XIV:CP008249.1; chromosome XV:CP008250.1; chromosome XVI:CP008251.1; mitochondrion MT:CP008252.1,-,17,-,-,2016/06/20,2016/06/20,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/671/985/GCA_001671985.1_ASM167198v1
"Saccharomyces cerevisiae Sigma1278b","Sigma1278b",SAMN00002885 ,PRJNA39317,"Fungi","Ascomycetes",11.9459,38.3049,GCA_000151485.1 ,chromosome 1:CM000921.1; chromosome 10:CM000930.1; chromosome 11:CM000931.1; chromosome 12:CM000932.1; chromosome 13:CM000933.1; chromosome 14:CM000934.1; chromosome 15:CM000935.1; chromosome 16:CM000936.1; chromosome 2:CM000922.1; chromosome 3:CM000923.1; chromosome 4:CM000924.1; chromosome 5:CM000925.1; chromosome 6:CM000926.1; chromosome 7:CM000927.1; chromosome 8:CM000928.1; chromosome 9:CM000929.1,ACVY01,16,-,-,2010/04/29,2014/08/04,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/485/GCA_000151485.1_ASM15148v1
"Saccharomyces cerevisiae AWRI796","AWRI796",SAMN02981265 ,PRJNA48559,"Fungi","Ascomycetes",11.7417,38.2354,GCA_000190195.1 ,chromosome I:CM001078.1; chromosome II:CM001079.1; chromosome III:CM001080.1; chromosome IV:CM001081.1; chromosome V:CM001082.1; chromosome VI:CM001083.1; chromosome VII:CM001084.1; chromosome VIII:CM001085.1; chromosome IX:CM001086.1; chromosome X:CM001087.1; chromosome XI:CM001088.1; chromosome XII:CM001089.1; chromosome XIII:CM001090.1; chromosome XIV:CM001091.1; chromosome XV:CM001092.1; chromosome XVI:CM001093.1,ADVS01,89,5267,3786,2011/02/11,2014/08/11,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/195/GCA_000190195.1_ScAWRI796_v01
"Saccharomyces cerevisiae Vin13","Vin13",SAMN02981268 ,PRJNA48563,"Fungi","Ascomycetes",11.6675,38.2583,GCA_000190215.1 ,chromosome I:CM001094.1; chromosome II:CM001095.1; chromosome III:CM001096.1; chromosome IV:CM001097.1; chromosome V:CM001098.1; chromosome VI:CM001099.1; chromosome VII:CM001100.1; chromosome VIII:CM001101.1; chromosome IX:CM001102.1; chromosome X:CM001103.1; chromosome XI:CM001104.1; chromosome XII:CM001105.1; chromosome XIII:CM001106.1; chromosome XIV:CM001107.1; chromosome XV:CM001108.1; chromosome XVI:CM001109.1,ADXC01,107,5250,3930,2011/02/11,2014/08/11,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/215/GCA_000190215.1_ScVIN13_v01
"Saccharomyces cerevisiae VL3","VL3",SAMN02981289 ,PRJNA48565,"Fungi","Ascomycetes",11.6622,38.2576,GCA_000190235.1 ,chromosome I:CM001126.1; chromosome II:CM001127.1; chromosome III:CM001128.1; chromosome IV:CM001129.1; chromosome V:CM001130.1; chromosome VI:CM001131.1; chromosome VII:CM001132.1; chromosome VIII:CM001133.1; chromosome IX:CM001134.1; chromosome X:CM001135.1; chromosome XI:CM001136.1; chromosome XII:CM001137.1; chromosome XIII:CM001138.1; chromosome XIV:CM001139.1; chromosome XV:CM001140.1; chromosome XVI:CM001141.1,AEJS01,84,5295,4025,2011/02/11,2014/08/11,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/235/GCA_000190235.1_ScVL3_v01
"Saccharomyces cerevisiae FostersB","FostersB",SAMN02981281 ,PRJNA48569,"Fungi","Ascomycetes",11.5146,38.2354,GCA_000190255.1 ,chromosome I:CM001110.1; chromosome II:CM001111.1; chromosome III:CM001112.1; chromosome IV:CM001113.1; chromosome V:CM001114.1; chromosome VI:CM001115.1; chromosome VII:CM001116.1; chromosome VIII:CM001117.1; chromosome IX:CM001118.1; chromosome X:CM001119.1; chromosome XI:CM001120.1; chromosome XII:CM001121.1; chromosome XIII:CM001122.1; chromosome XIV:CM001123.1; chromosome XV:CM001124.1; chromosome XVI:CM001125.1,AEHH01,90,5187,3689,2011/02/11,2014/08/11,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/255/GCA_000190255.1_ScFostersB_v01
"Saccharomyces cerevisiae CEN.PK113-7D","CEN.PK113-7D",SAMN00828752 ,PRJNA52955,"Fungi","Ascomycetes",11.9991,38.7084,GCA_000269885.1 ,chromosome I:CM001522.1; chromosome II:CM001523.1; chromosome III:CM001524.1; chromosome IV:CM001525.1; chromosome V:CM001526.1; chromosome VI:CM001527.1; chromosome VII:CM001528.1; chromosome VIII:CM001529.1; chromosome IX:CM001530.1; chromosome X:CM001531.1; chromosome XI:CM001532.1; chromosome XII:CM001533.1; chromosome XIII:CM001534.1; chromosome XIV:CM001535.1; chromosome XV:CM001536.1; chromosome XVI:CM001537.1,AEHG01,70,5451,5451,2012/06/18,2014/08/04,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/269/885/GCA_000269885.1_ASM26988v1
"Saccharomyces cerevisiae YJSH1","YJSH1",SAMN01057573 ,PRJNA72403,"Fungi","Ascomycetes",11.5505,38.3211,GCA_000275665.1 ,chromosome I:CM001539.1; chromosome II:CM001540.1; chromosome III:CM001541.1; chromosome IV:CM001542.1; chromosome V:CM001543.1; chromosome VI:CM001544.1; chromosome VII:CM001545.1; chromosome VIII:CM001546.1; chromosome IX:CM001547.1; chromosome X:CM001548.1; chromosome XI:CM001549.1; chromosome XII:CM001550.1; chromosome XIII:CM001551.1; chromosome XIV:CM001552.1; chromosome XV:CM001553.1; chromosome XVI:CM001554.1,AGAW01,17,-,-,2012/07/02,2014/08/04,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/275/665/GCA_000275665.1_YJSH1_1.0
"Saccharomyces cerevisiae W303","W303",SAMN02981436 ,PRJNA83445,"Fungi","Ascomycetes",12.1532,38.3352,GCA_000292815.1 ,chromosome I:CM001806.1; chromosome II:CM001807.1; chromosome III:CM001808.1; chromosome IV:CM001809.1; chromosome V:CM001810.1; chromosome VI:CM001811.1; chromosome VII:CM001812.1; chromosome VIII:CM001813.1; chromosome IX:CM001814.1; chromosome X:CM001815.1; chromosome XI:CM001816.1; chromosome XII:CM001817.1; chromosome XIII:CM001818.1; chromosome XIV:CM001819.1; chromosome XV:CM001820.1; chromosome XVI:CM001821.1; plasmid 2-micron:CM001822.1; mitochondrion MT:CM001823.1,ALAV01,18,-,-,2012/08/24,2014/08/11,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/292/815/GCA_000292815.1_ASM29281v1
"Saccharomyces cerevisiae R008","R008",SAMN01915092 ,PRJNA162713,"Fungi","Ascomycetes",11.6014,38.4325,GCA_000568005.1 ,chromosome I:CM002404.1; chromosome II:CM002405.1; chromosome III:CM002406.1; chromosome IV:CM002407.1; chromosome V:CM002408.1; chromosome VI:CM002409.1; chromosome VII:CM002410.1; chromosome VIII:CM002411.1; chromosome IX:CM002412.1; chromosome X:CM002413.1; chromosome XI:CM002414.1; chromosome XII:CM002415.1; chromosome XIII:CM002416.1; chromosome XIV:CM002417.1; chromosome XV:CM002418.1; chromosome XVI:CM002419.1; plasmid 2 micron:CM002420.1; mitochondrion MT:CM002421.1,APIP01,32,6074,5222,2013/12/31,2014/02/26,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/568/005/GCA_000568005.1_R008
"Saccharomyces cerevisiae P301","P301",SAMN01915094 ,PRJNA162717,"Fungi","Ascomycetes",11.4871,38.5146,GCA_000568055.1 ,chromosome I:CM002422.1; chromosome II:CM002423.1; chromosome III:CM002424.1; chromosome IV:CM002425.1; chromosome V:CM002426.1; chromosome VI:CM002427.1; chromosome VII:CM002428.1; chromosome VIII:CM002429.1; chromosome IX:CM002430.1; chromosome X:CM002431.1; chromosome XI:CM002432.1; chromosome XII:CM002433.1; chromosome XIII:CM002434.1; chromosome XIV:CM002435.1; chromosome XV:CM002436.1; chromosome XVI:CM002437.1,APIQ01,41,6075,4767,2013/12/31,2014/02/26,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/568/055/GCA_000568055.1_p301
"Saccharomyces cerevisiae P283","P283",SAMN01915083 ,PRJNA161093,"Fungi","Ascomycetes",11.4081,38.4886,GCA_000568295.1 ,chromosome I:CM002332.1; chromosome II:CM002333.1; chromosome III:CM002334.1; chromosome IV:CM002335.1; chromosome V:CM002336.1; chromosome VI:CM002337.1; chromosome VII:CM002338.1; chromosome VIII:CM002339.1; chromosome IX:CM002340.1; chromosome X:CM002341.1; chromosome XI:CM002342.1; chromosome XII:CM002343.1; chromosome XIII:CM002344.1; chromosome XIV:CM002345.1; chromosome XV:CM002346.1; chromosome XVI:CM002347.1,AOJC01,34,5266,4400,2013/12/31,2014/08/04,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/568/295/GCA_000568295.1_P283
"Saccharomyces cerevisiae R103","R103",SAMN01915093 ,PRJNA162715,"Fungi","Ascomycetes",11.4897,38.429,GCA_000568365.1 ,chromosome I:CM002438.1; chromosome II:CM002439.1; chromosome III:CM002440.1; chromosome IV:CM002441.1; chromosome V:CM002442.1; chromosome VI:CM002443.1; chromosome VII:CM002444.1; chromosome VIII:CM002445.1; chromosome IX:CM002446.1; chromosome X:CM002447.1; chromosome XI:CM002448.1; chromosome XII:CM002449.1; chromosome XIII:CM002450.1; chromosome XIV:CM002451.1; chromosome XV:CM002452.1; chromosome XVI:CM002453.1,APIR01,73,6025,5045,2013/12/31,2014/02/26,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/568/365/GCA_000568365.1_R103
"Saccharomyces cerevisiae UFMG A-905","UFMG A-905",SAMN02570260 ,PRJNA230840,"Fungi","Ascomycetes",11.4304,38.1851,GCA_000733235.3 ,chromosome I:CM002961.1; chromosome II:CM002962.1; chromosome III:CM002963.1; chromosome IV:CM002964.1; chromosome V:CM002965.1; chromosome VI:CM002966.1; chromosome VII:CM002967.1; chromosome VIII:CM002968.1; chromosome IX:CM002969.1; chromosome X:CM002970.1; chromosome XI:CM002971.1; chromosome XII:CM002972.1; chromosome XIII:CM002973.1; chromosome XIV:CM002974.1; chromosome XV:CM002975.1; chromosome XVI:CM002976.1,JACO02,210,-,-,2014/07/24,2014/11/21,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/733/235/GCA_000733235.3_ASM73323v3
"Saccharomyces cerevisiae","GLBRCY22-3",SAMN03451116 ,PRJNA279877,"Fungi","Ascomycetes",12.3772,38.2664,GCA_001634645.1 ,chromosome I:CM004294.1; chromosome II:CM004295.1; chromosome III:CM004296.1; chromosome IV:CM004297.1; chromosome V:CM004298.1; chromosome VI:CM004299.1; chromosome VII:CM004300.1; chromosome VIII:CM004301.1; chromosome IX:CM004302.1; chromosome X:CM004303.1; chromosome XI:CM004304.1; chromosome XII:CM004305.1; chromosome XIII:CM004306.1; chromosome XIV:CM004307.1; chromosome XV:CM004308.1; chromosome XVI:CM004309.1; plasmid p2uM:CM004310.1; mitochondrion MT:CM004311.1,LBMA01,32,6967,6319,2016/04/28,2016/05/31,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/634/645/GCA_001634645.1_GLBRCY22-3
"Saccharomyces cerevisiae","wild007",SAMN05190518 ,PRJNA323691,"Fungi","Ascomycetes",12.8114,38.3953,GCA_001735825.1 ,chromosome I:CM004671.1; chromosome II:CM004672.1; chromosome III:CM004673.1; chromosome IV:CM004674.1; chromosome V:CM004675.1; chromosome VI:CM004676.1; chromosome VII:CM004677.1; chromosome VIII:CM004678.1; chromosome IX:CM004679.1; chromosome X:CM004680.1; chromosome XI:CM004681.1; chromosome XII:CM004682.1; chromosome XIII:CM004683.1; chromosome XIV:CM004684.1; chromosome XV:CM004685.1; chromosome XVI:CM004686.1,MBUB01,972,-,-,2016/09/12,2016/09/20,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/735/825/GCA_001735825.1_ASM173582v1
"Saccharomyces cerevisiae","wild003",SAMN05190514 ,PRJNA323691,"Fungi","Ascomycetes",12.0786,38.3095,GCA_001737145.2 ,chromosome I:CM004687.1; chromosome II:CM004688.1; chromosome III:CM004689.1; chromosome IV:CM004690.1; chromosome V:CM004691.1; chromosome VI:CM004692.1; chromosome VII:CM004693.1; chromosome VIII:CM004694.1; chromosome IX:CM004695.1; chromosome X:CM004696.1; chromosome XI:CM004697.1; chromosome XII:CM004698.1; chromosome XIII:CM004699.1; chromosome XIV:CM004700.1; chromosome XV:CM004701.1; chromosome XVI:CM004702.1,MBUF02,156,-,-,2016/09/12,2016/10/25,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/737/145/GCA_001737145.2_ASM173714v2
"Saccharomyces cerevisiae","wild005",SAMN05190516 ,PRJNA323691,"Fungi","Ascomycetes",12.9322,38.3756,GCA_001737155.1 ,chromosome I:CM004703.1; chromosome II:CM004704.1; chromosome III:CM004705.1; chromosome IV:CM004706.1; chromosome V:CM004707.1; chromosome VI:CM004708.1; chromosome VII:CM004709.1; chromosome VIII:CM004710.1; chromosome IX:CM004711.1; chromosome X:CM004712.1; chromosome XI:CM004713.1; chromosome XII:CM004714.1; chromosome XIII:CM004715.1; chromosome XIV:CM004716.1; chromosome XV:CM004717.1; chromosome XVI:CM004718.1,MBUD01,1156,-,-,2016/09/12,2016/09/21,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/737/155/GCA_001737155.1_ASM173715v1
"Saccharomyces cerevisiae","wild004",SAMN05190515 ,PRJNA323691,"Fungi","Ascomycetes",11.8841,38.2341,GCA_001737165.1 ,chromosome I:CM004735.1; chromosome II:CM004736.1; chromosome III:CM004737.1; chromosome IV:CM004738.1; chromosome V:CM004739.1; chromosome VI:CM004740.1; chromosome VII:CM004741.1; chromosome VIII:CM004742.1; chromosome IX:CM004743.1; chromosome X:CM004744.1; chromosome XI:CM004745.1; chromosome XII:CM004746.1; chromosome XIII:CM004747.1; chromosome XIV:CM004748.1; chromosome XV:CM004749.1; chromosome XVI:CM004750.1,MBUE01,64,-,-,2016/09/12,2016/09/21,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/737/165/GCA_001737165.1_ASM173716v1
"Saccharomyces cerevisiae","wild006",SAMN05190517 ,PRJNA323691,"Fungi","Ascomycetes",12.8221,38.3781,GCA_001737175.1 ,chromosome I:CM004719.1; chromosome II:CM004720.1; chromosome III:CM004721.1; chromosome IV:CM004722.1; chromosome V:CM004723.1; chromosome VI:CM004724.1; chromosome VII:CM004725.1; chromosome VIII:CM004726.1; chromosome IX:CM004727.1; chromosome X:CM004728.1; chromosome XI:CM004729.1; chromosome XII:CM004730.1; chromosome XIII:CM004731.1; chromosome XIV:CM004732.1; chromosome XV:CM004733.1; chromosome XVI:CM004734.1,MBUC01,1050,-,-,2016/09/12,2016/09/21,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/737/175/GCA_001737175.1_ASM173717v1
"Saccharomyces cerevisiae","wild002",SAMN05190513 ,PRJNA323691,"Fungi","Ascomycetes",12.0095,38.3747,GCA_001737265.1 ,chromosome I:CM004751.1; chromosome II:CM004752.1; chromosome III:CM004753.1; chromosome IV:CM004754.1; chromosome V:CM004755.1; chromosome VI:CM004756.1; chromosome VII:CM004757.1; chromosome VIII:CM004758.1; chromosome IX:CM004759.1; chromosome X:CM004760.1; chromosome XI:CM004761.1; chromosome XII:CM004762.1; chromosome XIII:CM004763.1; chromosome XIV:CM004764.1; chromosome XV:CM004765.1; chromosome XVI:CM004766.1,MBUG01,68,-,-,2016/09/12,2016/09/21,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/737/265/GCA_001737265.1_ASM173726v1
"Saccharomyces cerevisiae","wild001",SAMN05190512 ,PRJNA323691,"Fungi","Ascomycetes",12.1491,38.2686,GCA_001737275.1 ,chromosome I:CM004767.1; chromosome II:CM004768.1; chromosome III:CM004769.1; chromosome IV:CM004770.1; chromosome V:CM004771.1; chromosome VI:CM004772.1; chromosome VII:CM004773.1; chromosome VIII:CM004774.1; chromosome IX:CM004775.1; chromosome X:CM004776.1; chromosome XI:CM004777.1; chromosome XII:CM004778.1; chromosome XIII:CM004779.1; chromosome XIV:CM004780.1; chromosome XV:CM004781.1; chromosome XVI:CM004782.1,MBUH01,185,-,-,2016/09/12,2016/09/21,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/737/275/GCA_001737275.1_ASM173727v1
