#Organism/Name,BioProject,Group,SubGroup,Size (Kb),GC%,Host,Segmemts,Genes,Proteins,Release Date,Modify Date,Level
"Gordonia phage Guacamole",PRJNA344623,"dsDNA viruses, no RNA stage","Siphoviridae",49.894,67.2,"bacteria",NC_031265.1/KU963259.1,78,78,2016/04/03,2016/09/27,Complete Genome
"Gordonia phage Emalyn",PRJNA344624,"dsDNA viruses, no RNA stage","Siphoviridae",43.982,61.2,"bacteria",NC_031234.1/KU963260.1,67,67,2016/04/03,2016/09/27,Complete Genome
"Gordonia phage BetterKatz",PRJNA344625,"dsDNA viruses, no RNA stage","Siphoviridae",50.636,67.1,"bacteria",NC_031247.1/KU963261.1,75,75,2016/04/03,2016/09/27,Complete Genome
"Mycobacterium phage Phrann",PRJNA344626,"dsDNA viruses, no RNA stage","Siphoviridae",44.872,66.3,"bacteria",NC_031266.1/KU935731.1,67,67,2016/04/03,2016/09/27,Complete Genome
"Mycobacterium phage Xeno",PRJNA344627,"dsDNA viruses, no RNA stage","Siphoviridae",42.395,66.8,"bacteria",NC_031243.1/KU935728.1,69,69,2016/04/03,2016/09/27,Complete Genome
"Mycobacterium phage Panchino",PRJNA344628,"dsDNA viruses, no RNA stage","Siphoviridae",43.516,65.9,"bacteria",NC_031281.1/KU935727.1,66,66,2016/04/03,2016/09/27,Complete Genome
"Mycobacterium phage ArcherNM",PRJNA344629,"dsDNA viruses, no RNA stage","Siphoviridae",52.561,64.2,"bacteria",NC_031277.1/KU761559.1,91,91,2016/04/03,2016/09/27,Complete Genome
"Mycobacterium phage Loser",PRJNA344630,"dsDNA viruses, no RNA stage","Siphoviridae",53.486,64.5,"bacteria",NC_031256.1/KU761558.1,98,97,2016/04/03,2016/09/27,Complete Genome
"Mycobacterium phage Brocalys",PRJNA344631,"dsDNA viruses, no RNA stage","Siphoviridae",54.751,61.8,"bacteria",NC_031262.1/KU865302.1,96,96,2016/04/03,2016/09/27,Complete Genome
"Mycobacterium phage Mulciber",PRJNA344632,"dsDNA viruses, no RNA stage","Siphoviridae",52.428,63.7,"bacteria",NC_031257.1/KU695581.1,99,98,2016/03/22,2016/09/27,Complete Genome
"Mycobacterium phage Bipper",PRJNA344633,"dsDNA viruses, no RNA stage","Siphoviridae",77.832,67.3,"bacteria",NC_031253.1/KU728633.1,136,135,2016/03/22,2016/09/27,Complete Genome
"Klebsiella phage vB_KpnP_KpV71",PRJNA344634,"dsDNA viruses, no RNA stage","Podoviridae",43.267,54,"bacteria",NC_031246.1/KU666550.1,53,53,2016/03/22,2016/09/27,Complete Genome
"Arthrobacter phage Kitkat",PRJNA344635,"dsDNA viruses, no RNA stage","Siphoviridae",58.56,63.4,"bacteria",NC_031254.1/KU647627.1,100,100,2016/03/05,2016/09/27,Complete Genome
"Arthrobacter phage KellEzio",PRJNA344636,"dsDNA viruses, no RNA stage","Siphoviridae",58.871,63.3,"bacteria",NC_031231.1/KU647626.1,98,98,2016/03/05,2016/09/27,Complete Genome
"Arthrobacter phage BarretLemon",PRJNA344637,"dsDNA viruses, no RNA stage","Myoviridae",51.29,60.9,"bacteria",NC_031252.1/KU647629.1,79,79,2016/03/05,2016/09/27,Complete Genome
"Mycobacterium phage Catalina",PRJNA344638,"dsDNA viruses, no RNA stage","Siphoviridae",53.411,62.6,"bacteria",NC_031238.1/KU613353.1,102,101,2016/03/13,2016/09/27,Complete Genome
"Lishi Spider Virus 2",PRJNA344639,"ssRNA viruses","unclassified",9.924,31.6,"invertebrates",NC_031259.1/KM817632.1,3,3,2015/02/08,2016/09/27,Complete Genome
"Staphylococcus phage CNPx",PRJNA344640,"dsDNA viruses, no RNA stage","Siphoviridae",43.293,34.7,"bacteria",NC_031241.1/KU598975.1,69,69,2016/03/31,2016/09/27,Complete Genome
"Wuhan Louse Fly Virus 10",PRJNA344641,"ssRNA viruses","Rhabdoviridae",11.541,35.3,"invertebrates",NC_031240.1/KM817657.1,5,5,2015/02/08,2016/09/27,Complete Genome
"Wuhan Insect virus 7",PRJNA344642,"ssRNA viruses","Rhabdoviridae",11.165,42.5,"invertebrates",NC_031236.1/KM817653.1,5,5,2015/02/08,2016/09/27,Complete Genome
"Wuhan Insect virus 6",PRJNA344643,"ssRNA viruses","Rhabdoviridae",14.191,40.4,"invertebrates",NC_031232.1/KM817652.1,6,6,2015/02/08,2016/09/27,Complete Genome
"Wuhan Insect virus 5",PRJNA344644,"ssRNA viruses","Rhabdoviridae",12.734,44.2,"invertebrates",NC_031227.1/KM817651.1,6,6,2015/02/08,2016/09/27,Complete Genome
"Rousettus bat coronavirus",PRJNA342647,"ssRNA viruses","Coronaviridae",30.161,45.3,"vertebrates",NC_030886.1/KU762338.1,10,10,2016/09/03,2016/09/12,Complete Genome
"Common bean-associated gemycircularvirus",PRJNA342645,"unclassified viruses","Genomoviridae",2.22,52.2,"plants",NC_030887.1/KX434768.1,3,3,2016/09/07,2016/09/12,Complete Genome
"Arabidopsis halleri partitivirus 1",PRJNA342649,"dsRNA viruses","Partitiviridae",3.722,45.6736,"plants", 1:NC_030889.1/LC151461.1;  2:NC_030890.1/LC151462.1,2,2,2016/09/02,2016/09/12,Complete Genome
"Sulfolobus islandicus rudivirus 3",PRJNA342507,"dsDNA viruses, no RNA stage","Rudiviridae",32.995,25.5,"archaea",NC_030884.1/KX712143.1,45,45,2016/09/03,2016/09/12,Complete Genome
"Parrot bornavirus 5",PRJNA342648,"ssRNA viruses","Bornaviridae",8.97,42.9,"vertebrates",NC_030885.1/LC120625.1,6,6,2016/09/06,2016/09/12,Complete Genome
"Sclerotium hydrophilum virus 1",PRJNA342646,"dsRNA viruses","unclassified",4.074,58.7201,"fungi", 1:NC_030888.1/KU886558.1;  2:NC_030891.1/KU886559.1,3,3,2016/09/03,2016/09/12,Complete Genome
"Wuhan Louse Fly Virus 5",PRJNA344785,"ssRNA viruses","Rhabdoviridae",11.103,32.7,"invertebrates",NC_031301.1/KM817654.1,5,5,2015/02/08,2016/09/30,Complete Genome
"Wuhan horsefly Virus",PRJNA345025,"ssRNA viruses","unclassified",15.94,32.4802,"invertebrates", 1:NC_031313.1/KM817690.1;  2:NC_031316.1/KM817723.1;  3:NC_031315.1/KM817751.1;  4:NC_031314.1/KM817750.1,4,4,2015/02/08,2016/09/30,Complete Genome
"Wuhan Tick Virus 1",PRJNA345026,"ssRNA viruses","unclassified",10.306,47.9,"invertebrates",NC_031304.1/KM817660.1,4,4,2015/02/08,2016/09/30,Complete Genome
"Wuhan Mosquito Virus 9",PRJNA345027,"ssRNA viruses","Rhabdoviridae",13.706,46,"invertebrates",NC_031303.1/KM817659.1,6,6,2015/02/08,2016/09/30,Complete Genome
"Wuhan Mosquito Virus 2",PRJNA345028,"ssRNA viruses","unclassified",10.855,43.0986,"invertebrates", L:NC_031312.1/KM817698.1;  M:NC_031309.1/KM817727.1;  S:NC_031311.1/KM817759.1,3,3,2015/02/08,2016/09/30,Complete Genome
"Wuhan Mosquito Virus 1",PRJNA345029,"ssRNA viruses","unclassified",10.802,37.8098,"invertebrates", L:NC_031307.1/KM817697.1;  M:NC_031308.1/KM817726.1;  S:NC_031310.1/KM817758.1,3,3,2015/02/08,2016/09/30,Complete Genome
"Wuhan Louse Fly Virus 9",PRJNA345030,"ssRNA viruses","unclassified",11.37,40.6,"invertebrates",NC_031302.1/KM817656.1,5,5,2015/02/08,2016/09/30,Complete Genome
"Synedrella leaf curl virus",PRJNA345031,"ssDNA viruses","Geminiviridae",2.749,42.3,"plants",NC_031306.1/KU933258.1,7,7,2016/09/24,2016/09/30,Complete Genome
"Yongjia Tick Virus 2",PRJNA345032,"ssRNA viruses","Rhabdoviridae",10.833,48.2,"invertebrates",NC_031305.1/KM817662.1,5,5,2015/02/08,2016/09/30,Complete Genome
"Yichang Insect virus",PRJNA345033,"ssRNA viruses","Bunyaviridae",10.729,46.1437,"invertebrates", L:NC_031320.1/KM817703.1;  M:NC_031321.1/KM817730.1;  S:NC_031322.1/KM817763.1,3,3,2015/02/08,2016/09/30,Complete Genome
"Wutai Mosquito Virus",PRJNA345034,"ssRNA viruses","Bunyaviridae",12.072,39.919,"invertebrates", L:NC_031317.1/KM817700.1;  M:NC_031318.1/KM817728.1;  S:NC_031319.1/KM817761.1,3,3,2015/02/08,2016/09/30,Complete Genome
"Lisianthus enation leaf curl virus",PRJNA349161,"ssDNA viruses","Geminiviridae",2.759,42.7,"plants",NC_031466.1/LC091538.1,6,6,2016/04/19,2016/10/19,Complete Genome
"Banzi virus",PRJNA310876,"ssRNA viruses","Flaviviridae",10.182,50.4,"vertebrates, invertebrates, human",NC_029054.1/DQ859067.1,1,1,2009/09/16,2016/09/26,Complete Genome
"Shuangao Insect Virus 1",PRJNA344319,"ssRNA viruses","Bunyaviridae",13.309,34.7693,"invertebrates", L:NC_031221.1/KM817679.1;  M:NC_031222.1/KM817714.1;  S:NC_031223.1/KM817739.1,3,3,2015/02/08,2016/09/26,Complete Genome
"Shuangao Bedbug Virus 2",PRJNA344320,"ssRNA viruses","unclassified",10.925,35.8,"invertebrates",NC_031217.1/KM817637.1,3,3,2015/02/08,2016/09/26,Complete Genome
"Shayang Spider Virus 1",PRJNA344321,"ssRNA viruses","Bunyaviridae",20.231,34.6019,"invertebrates", L:NC_031220.1/KM817676.1;  M:NC_031218.1/KM817712.1;  S:NC_031219.1/KM817738.1,3,3,2015/02/08,2016/09/26,Complete Genome
"Shayang Fly Virus 3",PRJNA344322,"ssRNA viruses","Rhabdoviridae",15.462,34.7,"invertebrates",NC_031216.1/KM817636.1,5,5,2015/02/08,2016/09/26,Complete Genome
"Shayang Fly Virus 2",PRJNA344323,"ssRNA viruses","Rhabdoviridae",12.291,41.1,"invertebrates",NC_031215.1/KM817635.1,6,6,2015/02/08,2016/09/26,Complete Genome
"Shayang Fly Virus 1",PRJNA344324,"ssRNA viruses","unclassified",13.732,41.7,"invertebrates",NC_031214.1/KM817598.1,3,3,2015/02/08,2016/09/26,Complete Genome
"Primate norovirus",PRJNA345050,"ssRNA viruses","Caliciviridae",7.753,48.5,"vertebrates",NC_031324.1/KX396056.1,3,3,2016/09/26,2016/10/03,Complete Genome
"Simian retrovirus 8",PRJNA345346,"Retro-transcribing viruses","Retroviridae",8.126,43.7,"vertebrates",NC_031326.1/KU605777.1,4,4,2016/10/01,2016/10/05,Complete Genome
"Anopheles flavivirus variant 1",PRJNA345461,"ssRNA viruses","Flaviviridae",10.588,49.4,"invertebrates",NC_031327.1/KX148546.1,2,2,2016/09/26,2016/10/17,Complete Genome
"Psophocarpus tetragonolobus endornavirus",PRJNA345627,"dsRNA viruses","Endornaviridae",14.623,41.3,"plants",NC_031336.1/LC144945.1,1,1,2016/10/05,2016/10/07,Complete Genome
"Privet leaf blotch-associated virus",PRJNA348330,"ssRNA viruses","unclassified",7.725,42.8942,"plants", 1:NC_031341.1/LT221868.1;  2:NC_031342.1/LT221869.1,3,3,2016/10/07,2016/10/13,Complete Genome
"Moku virus",PRJNA348111,"ssRNA viruses","Iflaviridae",10.056,36.9,"invertebrates",NC_031338.1/KU645789.1,1,1,2016/10/10,2016/10/13,Complete Genome
"Grapevine geminivirus A",PRJNA348329,"ssDNA viruses","Geminiviridae",2.905,43.3,"plants",NC_031340.1/KX618694.1,6,6,2016/10/10,2016/10/13,Complete Genome
"Euphorbia ringspot virus",PRJNA348328,"ssRNA viruses","Potyviridae",10.154,39.1,"plants",NC_031339.1/KX355613.1,2,2,2016/10/08,2016/10/13,Complete Genome
"Bacillus phage Bp8p-C",PRJNA310944,"dsDNA viruses, no RNA stage","Myoviridae",151.417,41.2,"bacteria", Unknown:NC_029121.1/KJ010547.1,216,211,2014/11/12,2016/02/05,Complete Genome
"Pigeon adenovirus 2",PRJNA349749,"dsDNA viruses, no RNA stage","Adenoviridae",41.981,48.6,"vertebrates",NC_031503.1/KX121164.1,35,35,2016/10/18,2016/10/21,Complete Genome
"Human astrovirus",PRJNA15436,"ssRNA viruses","Astroviridae",6.813,44.8,"vertebrates", Unknown:NC_001943.1/Z25771.1,2,2,1993/11/01,2016/09/22,Complete Genome
"Elapid 1 bornavirus",PRJNA260159,"ssRNA viruses","Bornaviridae",8.884,43.3,"vertebrates",NC_024778.1/KM114265.1,6,6,2014/09/02,2016/07/26,Complete
"Aphis glycines virus 2",PRJNA302026,"unclassified viruses","unclassified",4.85,53.4,"invertebrates", Unknown:NC_028381.1/KR912180.1,3,3,2015/11/03,2016/09/09,Complete Genome
"Botrytis ourmia-like virus",PRJNA304909,"ssRNA viruses","unclassified",2.903,45.8,"plants", Unknown:NC_028476.1/LN827955.2,1,1,2015/11/29,2016/07/19,Complete Genome
"Mink coronavirus strain WD1127",PRJNA241029,"ssRNA viruses","Coronaviridae",28.941,37.5,"vertebrates", Unknown:NC_023760.1/HM245925.1,10,10,2010/06/21,2014/03/12,Complete Genome
"Grapevine asteroid mosaic-associated virus",PRJNA351253,"ssRNA viruses","Tymoviridae",6.719,65,"invertebrates, plants",NC_031692.1/KX354202.1,3,3,2016/10/25,2016/10/28,Complete Genome
"Rhinolophus sinicus bat bocaparvovirus",PRJNA351252,"ssDNA viruses","Parvoviridae",5.414,55.3,"vertebrates",NC_031695.1/KU321655.1,5,5,2016/10/25,2016/10/28,Complete Genome
"Centovirus",PRJNA351802,"ssRNA viruses","Dicistroviridae",9.07,41.9,"invertebrates",NC_031687.1/KX657784.1,2,2,2016/10/25,2016/11/10,Complete Genome
"Corey virus",PRJNA351803,"unclassified viruses","unclassified",9.22,41.8,"invertebrates",NC_031686.1/KX657783.1,1,1,2016/10/25,2016/11/01,Complete Genome
"Bradson virus",PRJNA351804,"unclassified viruses","unclassified",9.875,35.5,"invertebrates",NC_031689.1/KX657787.1,1,1,2016/10/25,2016/11/01,Complete Genome
"Orgi virus",PRJNA351805,"ssRNA viruses","Rhabdoviridae",11.308,40.8,"invertebrates",NC_031690.1/KX852386.1,5,5,2016/10/25,2016/11/01,Complete Genome
"Burke virus",PRJNA351807,"unclassified viruses","unclassified",10.025,38.8,"invertebrates",NC_031693.1/KX782311.1,1,1,2016/10/24,2016/11/10,Complete Genome
"Gata virus",PRJNA351808,"ssRNA viruses","Rhabdoviridae",11.238,40.6,"invertebrates",NC_031691.1/KX852388.1,5,5,2016/10/25,2016/11/01,Complete Genome
"Mosquito dicistrovirus",PRJNA351826,"ssRNA viruses","Dicistroviridae",9.018,41.1,"invertebrates",NC_031688.1/KX657786.1,2,2,2016/10/25,2016/11/01,Complete Genome
"Mouse cyclovirus",PRJNA352519,"ssDNA viruses","Circoviridae",2.229,44.3,"vertebrates",NC_031755.1/KT878836.1,2,2,2016/10/31,2016/11/04,Complete Genome
"White clover mottle virus",PRJNA352391,"ssRNA viruses","Luteoviridae",6.205,44.4,"plants",NC_031747.1/LC192169.1,6,6,2016/11/02,2016/11/04,Complete Genome
"Botrytis cinerea endornavirus 1",PRJNA352512,"dsRNA viruses","Endornaviridae",11.557,38.1,"fungi",NC_031752.1/KU923747.1,1,1,2016/11/02,2016/11/04,Complete Genome
"Bhendi yellow vein mosaic virus TJ-2016a",PRJNA352514,"ssDNA viruses","Geminiviridae",2.738,43.8,"plants", DNA-A:NC_031754.1/KX698087.1,6,6,2016/10/31,2016/11/04,Complete Genome
"Lodeiro virus",PRJNA352517,"unclassified viruses","unclassified",9.85,39.2,"invertebrates",NC_031748.1/KX779451.1,5,5,2016/10/29,2016/11/04,Complete Genome
"Riptortus pedestris virus-1",PRJNA352515,"ssRNA viruses","unclassified",10.562,44.5,"invertebrates",NC_031750.1/KU958718.1,1,1,2016/11/02,2016/11/04,Complete Genome
"Porcine circovirus 3",PRJNA352520,"ssDNA viruses","Circoviridae",2,50.3,"vertebrates",NC_031753.1/KT869077.1,1,1,2016/11/01,2016/11/04,Complete Genome
"King virus",PRJNA352516,"ssRNA viruses","Iflaviridae",10.193,36.1,"vertebrates",NC_031749.1/KX779454.1,1,1,2016/10/29,2016/11/04,Complete Genome
"Equus caballus papillomavirus 8",PRJNA352513,"dsDNA viruses, no RNA stage","Papillomaviridae",8.155,55.6,"vertebrates",NC_031756.1/KU963288.1,6,6,2016/10/31,2016/11/04,Complete Genome
"Zucchini lethal chlorosis virus",PRJNA352510,"ssRNA viruses","Bunyaviridae",17.269,35.5743,"plants", L:NC_031762.1/KU641378.1;  M:NC_031758.1/KU641379.1;  S:NC_031759.1/KU641380.1,5,5,2016/11/02,2016/11/04,Complete Genome
"uncultured human fecal virus",PRJNA16209,"Other","Other",509.086,47.1,"",AAMG00000000.1,-,-,2006/01/17,2014/08/11,Scaffold
"Variegated squirrel bornavirus 1",PRJNA336046,"ssRNA viruses","Bornaviridae",8.798,42.8,"vertebrates",NC_030701.1/LN713680.1,6,6,2015/07/09,2016/11/04,Complete Genome
"Dioscorea mosaic-associated virus",PRJNA353085,"ssRNA viruses","Secoviridae",9.789,40.806,"plants", RA11:NC_031766.1/KU215538.1;  RA22:NC_031763.1/KU215539.1,2,2,2016/10/19,2016/11/10,Complete Genome
"Anticarsia gemmatalis multiple nucleopolyhedrovirus",PRJNA353087,"dsDNA viruses, no RNA stage","Baculoviridae",131.855,44.5,"invertebrates",NC_031761.1/KR815466.1,156,156,2015/12/09,2016/11/10,Complete Genome
"Passionfruit leaf distortion virus",PRJNA353086,"ssDNA viruses","Geminiviridae",5.172,45.4557,"plants", A:NC_031764.1/KT899302.1;  B:NC_031765.1/KT899303.1,7,7,2016/10/20,2016/11/10,Complete Genome
"Cherry associated luteovirus",PRJNA353261,"ssRNA viruses","Luteoviridae",5.857,46.9,"plants",NC_031800.1/KX159470.1,8,8,2016/11/06,2016/11/14,Complete Genome
"Salmonella phage BPS11Q3",PRJNA353708,"dsDNA viruses, no RNA stage","Siphoviridae",43.788,49.7,"bacteria",NC_031925.1/KX405002.1,65,65,2016/07/20,2016/11/15,Complete Genome
"Salmonella phage BPS15Q2",PRJNA353712,"dsDNA viruses, no RNA stage","Myoviridae",89.817,38.9,"bacteria",NC_031939.1/KX405003.1,130,130,2016/07/20,2016/11/15,Complete Genome
"Salmonella phage 103203_sal5",PRJNA353666,"dsDNA viruses, no RNA stage","Podoviridae",40.443,46.5,"bacteria",NC_031946.1/KU927494.1,60,60,2016/06/22,2016/11/15,Complete Genome
"Flavobacterium phage Fpv10",PRJNA353667,"unclassified phages","unclassified",42.702,32,"bacteria",NC_031932.1/KU599884.1,58,58,2016/07/31,2016/11/15,Complete Genome
"Salmonella phage 100268_sal2",PRJNA353668,"dsDNA viruses, no RNA stage","Siphoviridae",125.114,40.2,"bacteria",NC_031902.1/KU927497.2,209,188,2016/06/22,2016/11/15,Complete Genome
"Salmonella phage 118970_sal1",PRJNA353669,"dsDNA viruses, no RNA stage","Siphoviridae",59.518,56.5,"bacteria",NC_031930.1/KU927500.1,71,71,2016/06/22,2016/11/15,Complete Genome
"Salmonella phage IME207",PRJNA353670,"dsDNA viruses, no RNA stage","Siphoviridae",47.564,46.4,"bacteria",NC_031924.1/KX523699.2,94,94,2016/08/01,2016/11/15,Complete Genome
"Flavobacterium phage Fpv8",PRJNA353671,"unclassified phages","unclassified",42.696,32,"bacteria",NC_031919.1/KU599883.1,58,58,2016/07/31,2016/11/15,Complete Genome
"Flavobacterium phage Fpv7",PRJNA353672,"unclassified phages","unclassified",42.894,32,"bacteria",NC_031905.1/KU599882.1,58,58,2016/07/31,2016/11/15,Complete Genome
"Flavobacterium phage Fpv6",PRJNA353673,"unclassified phages","unclassified",42.82,32,"bacteria",NC_031938.1/KU599881.1,58,58,2016/07/31,2016/11/15,Complete Genome
"Flavobacterium phage Fpv5",PRJNA353674,"unclassified phages","unclassified",42.696,32,"bacteria",NC_031921.1/KU599880.1,58,58,2016/07/31,2016/11/15,Complete Genome
"Flavobacterium phage Fpv3",PRJNA353675,"unclassified phages","unclassified",88.421,27.2,"bacteria",NC_031904.1/KU599879.1,79,79,2016/07/31,2016/11/15,Complete Genome
"Flavobacterium phage Fpv20",PRJNA353676,"unclassified phages","unclassified",89.937,26.9,"bacteria",NC_031912.1/KU599886.1,82,82,2016/07/31,2016/11/15,Complete Genome
"Flavobacterium phage Fpv2",PRJNA353677,"unclassified phages","unclassified",89.01,27,"bacteria",NC_031931.1/KU599878.1,80,80,2016/07/31,2016/11/15,Complete Genome
"Flavobacterium phage Fpv11",PRJNA353678,"unclassified phages","unclassified",42.696,32,"bacteria",NC_031945.1/KU599885.1,58,58,2016/07/31,2016/11/15,Complete Genome
"Synechococcus phage S-CAM9",PRJNA353680,"unclassified phages","unclassified",174.83,39,"bacteria",NC_031922.1/KU686206.1,237,229,2016/10/11,2016/11/15,Complete Genome
"Synechococcus phage S-CAM7",PRJNA353681,"unclassified phages","unclassified",216.121,41.2,"bacteria",NC_031927.1/KU686212.1,270,266,2016/10/11,2016/11/15,Complete Genome
"Synechococcus phage S-CAM3",PRJNA353682,"unclassified phages","unclassified",198.19,41.6,"bacteria",NC_031906.1/KU686199.1,250,240,2016/10/11,2016/11/15,Complete Genome
"Synechococcus phage S-CAM22",PRJNA353683,"unclassified phages","unclassified",172.345,39.9,"bacteria",NC_031903.1/KU686209.1,219,214,2016/10/11,2016/11/15,Complete Genome
"Escherichia phage WG01",PRJNA353684,"dsDNA viruses, no RNA stage","Myoviridae",169.936,39.6,"bacteria",NC_031928.1/KU878968.1,273,273,2016/05/15,2016/11/15,Complete Genome
"Escherichia phage MX01",PRJNA353685,"dsDNA viruses, no RNA stage","Myoviridae",168.929,39.6,"bacteria",NC_031934.1/KU878969.1,266,266,2016/05/15,2016/11/15,Complete Genome
"Synechococcus phage S-WAM2",PRJNA353686,"dsDNA viruses, no RNA stage","Myoviridae",186.386,41.3,"bacteria",NC_031935.1/KU686211.1,241,229,2016/10/11,2016/11/15,Complete Genome
"Synechococcus phage S-WAM1",PRJNA353687,"dsDNA viruses, no RNA stage","Myoviridae",185.102,44.7,"bacteria",NC_031944.1/KU686210.1,225,221,2016/10/11,2016/11/15,Complete Genome
"Salmonella phage 118970_sal3",PRJNA353688,"unclassified phages","unclassified",77.375,50.7,"bacteria",NC_031940.1/KU927493.2,135,135,2016/06/22,2016/11/15,Complete Genome
"Escherichia phage vB_EcoP_GA2A",PRJNA353689,"dsDNA viruses, no RNA stage","Podoviridae",40.47,51.1,"bacteria",NC_031943.1/KT990215.1,56,56,2016/08/31,2016/11/15,Complete Genome
"Streptococcus phage phiARI0746",PRJNA353690,"dsDNA viruses, no RNA stage","Siphoviridae",33.181,39.6,"bacteria",NC_031907.1/KT337365.1,44,42,2016/03/15,2016/11/15,Complete Genome
"Streptococcus phage phiARI0468-4",PRJNA353691,"dsDNA viruses, no RNA stage","Siphoviridae",37.395,38.1,"bacteria",NC_031915.1/KT337358.1,49,49,2016/03/15,2016/11/15,Complete Genome
"Streptococcus phage phiARI0468-2",PRJNA353692,"unclassified phages","unclassified",42.186,40.4,"bacteria",NC_031923.1/KT337356.1,51,49,2016/03/15,2016/11/15,Complete Genome
"Streptococcus phage phiARI0468-1",PRJNA353693,"unclassified phages","unclassified",41.063,40.8,"bacteria",NC_031929.1/KT337355.1,49,48,2016/03/15,2016/11/15,Complete Genome
"Streptococcus phage phiARI0462",PRJNA353694,"unclassified phages","unclassified",40.498,40.5,"bacteria",NC_031942.1/KT337354.1,52,51,2016/03/15,2016/11/15,Complete Genome
"Streptococcus phage phiARI0460-1",PRJNA353695,"unclassified phages","unclassified",41.807,39.7,"bacteria",NC_031913.1/KT337352.1,52,51,2016/03/15,2016/11/15,Complete Genome
"Streptococcus phage phiARI0131-2",PRJNA353696,"unclassified phages","unclassified",34.563,40.2,"bacteria",NC_031941.1/KT337342.1,38,37,2016/03/15,2016/11/15,Complete Genome
"Streptococcus phage phiARI0131-1",PRJNA353697,"unclassified phages","unclassified",42.927,39.6,"bacteria",NC_031901.1/KT337341.1,54,53,2016/03/15,2016/11/15,Complete Genome
"Streptococcus phage phiARI0031",PRJNA353698,"unclassified phages","unclassified",41.887,41.2,"bacteria",NC_031910.1/KT337340.1,52,51,2016/03/15,2016/11/15,Complete Genome
"Streptococcus phage phiARI0004",PRJNA353699,"unclassified phages","unclassified",41.105,40.7,"bacteria",NC_031920.1/KT337339.1,49,48,2016/03/15,2016/11/15,Complete Genome
"Gordonia phage GAL1",PRJNA353700,"dsDNA viruses, no RNA stage","Siphoviridae",49.979,63.5,"bacteria",chromosome:NC_031936.1/KR053194.1,82,82,2016/05/01,2016/11/15,Complete Genome
"Campylobacter phage PC14",PRJNA353701,"dsDNA viruses, no RNA stage","Myoviridae",134.927,26.2,"bacteria",NC_031909.1/KX236333.1,174,171,2016/07/18,2016/11/15,Complete Genome
"Pseudoalteromonas phage PH1",PRJNA353702,"unclassified phages","unclassified",42.685,42.2,"bacteria",NC_031908.1/KX365747.1,54,54,2016/08/08,2016/11/15,Complete Genome
"Pseudoalteromonas phage BS5",PRJNA353703,"unclassified phages","unclassified",39.949,40.6,"bacteria",NC_031917.1/KX365748.1,65,65,2016/08/08,2016/11/15,Complete Genome
"Flavobacterium phage Fpv1",PRJNA353704,"unclassified phages","unclassified",88.994,27,"bacteria",NC_031914.1/KU599877.1,80,80,2016/07/31,2016/11/15,Complete Genome
"Flavobacterium phage 2A",PRJNA353705,"unclassified phages","unclassified",46.575,31.7,"bacteria",NC_031926.1/KU599887.1,61,61,2016/07/31,2016/11/15,Complete Genome
"Flavobacterium phage 1H",PRJNA353706,"unclassified phages","unclassified",39.29,31.4,"bacteria",NC_031911.1/KU599889.1,48,48,2016/07/31,2016/11/15,Complete Genome
"Pyrobaculum filamentous virus 1",PRJNA314140,"dsDNA viruses, no RNA stage","unclassified",17.714,45.4,"archaea",NC_029548.1/KU307456.1,39,39,2016/03/01,2016/11/17,Complete Genome
"Bat adenovirus",PRJNA353920,"dsDNA viruses, no RNA stage","Adenoviridae",31.481,49.8,"vertebrates",NC_031948.1/KX871230.1,32,32,2016/11/14,2016/11/17,Complete Genome
"Guereza hepacivirus",PRJNA353921,"ssRNA viruses","Flaviviridae",10.471,52.5,"vertebrates, human",NC_031950.1/KC551802.1,1,1,2013/07/15,2016/11/21,Complete Genome
"Escherichia phage LM33_P1",PRJNA353713,"dsDNA viruses, no RNA stage","Podoviridae",38.979,50.2,"bacteria", I:NC_031937.1/LT594300.1,49,49,2016/06/16,2016/11/15,Complete Genome
"Salmonella phage 64795_sal3",PRJNA353714,"unclassified phages","unclassified",45.342,45.6,"bacteria",NC_031918.1/KX017520.1,74,74,2016/06/02,2016/11/15,Complete Genome
"Salmonella phage 118970_sal2",PRJNA353710,"dsDNA viruses, no RNA stage","Siphoviridae",114.18,40.3,"bacteria",NC_031933.1/KX017521.1,168,168,2016/06/02,2016/11/15,Complete Genome
"Lleida bat lyssavirus",PRJNA354165,"ssRNA viruses","Rhabdoviridae",11.931,41.2,"vertebrates, human",NC_031955.1/KY006983.1,5,5,2016/11/01,2016/11/21,Complete Genome
"Salmonella phage GG32",PRJNA306400,"dsDNA viruses, no RNA stage","Myoviridae",157.855,44.5,"bacteria",NC_031045.1/KX245012.1,206,202,2016/07/02,2016/11/17,Complete Genome
"Salmonella phage MA12",PRJNA306398,"dsDNA viruses, no RNA stage","Siphoviridae",41.224,49.9,"bacteria",NC_031021.1/KX245013.1,59,59,2016/07/02,2016/11/17,Complete Genome
"Bat hepacivirus",PRJNA353501,"ssRNA viruses","Flaviviridae",9.224,52.7,"vertebrates, human",NC_031947.1/KC796090.1,1,1,2013/05/03,2016/11/20,Complete Genome
"Sugarcane chlorotic streak virus",PRJNA356067,"ssDNA viruses","Geminiviridae",2.757,50.3,"plants",NC_032004.1/KX787914.1,5,5,2016/11/26,2016/12/06,Complete Genome
